名称（研发填写，产品重点校对，中文）,英文名称,平台界面是否显示,参数设置项,描述(备注/解释语，中文),英文描述(备注/解释语), 分组KEY,中文分组名称,英文分组名称,硬件版本,固件版本,型号,表格备注（非字段）,特殊解析 (变长协议等),下发是否响应,IPSO响应通道,IPSO通道,IPSO类型,IPSO起始字节,IPSO结束字节,IPSO起始bit,IPSO结束bit,"IPSO数据
类型",IPSO解析辅助字段类型,IPSO解析映射,IPSO固定值,异常值,"元素类型
（数组内元素类型）",枚举（产品校对文案）,英文枚举,默认值,自定义默认值,"最小值
(number)","最大值
(number)",设备限制范围,"精度
(有效小数位)",系数,单位名称（英文缩写）,"大小端
（string默认大端，其余默认小端）",输入长度限制（string）,字符编码（string）,类型,"读写
类型",事件类型,服务类型,IPSO标识,物模型版本,物模型属性标识,物模型数据类型,"长度下限
(string)","长度上限
(string)","数组长度
(最大)",关联项(物模型属性标识),输入参数（服务）,输出参数（事件&服务）,"必填
(入参)",云生态备注,忽略该行,平台自定义
阀门控制设置,Valve Control Settingd,是,,,,installation_settings,安装设置,Installation Settings,,,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x7d,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,valve_control_settings,struct,,,,,,,,,,FALSE
控制内容,Control Content,否,,,,installation_settings,安装设置,Installation Settings,,,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x7d,,0,1,,,uint8,type,valve_control_config,,,,,,0,,,,"[0,2]",,,,,,,属性,读写,,,,,valve_control_settings.type,enum,,,,,,,,,,FALSE
阀门控制周期,Valve Control Interval,是,,,,installation_settings,安装设置,Installation Settings,,,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x7d,,0,1,,,uint8,impl,valve_control_config：0x02,,,,,,30,,1,60,,,,s,,,,属性,读写,,,,,valve_control_settings.control_interval,int,,,,,,,,,,FALSE
阀门控制调节范围,Valve Control Adjustment Range,是,,当温差达到执行温控的温差范围设定值的上限时，阀门全开。当温差在执行温控的温差范围设定值以内时，按相应比例调整阀门开度。,"When the temperature difference reaches the upper limit of the configured range, the valve opens fully. When the temperature difference is within the configured control range, the valve opening is adjusted proportionally based on the actual temperature difference within the control range.",installation_settings,安装设置,Installation Settings,,,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x7d,,0,2,,,int16,impl,valve_control_config：0x00,,,,,,10,,1,15,"[100,1500]",2,0.01,℃,,,,属性,读写,,,,,valve_control_settings.control_adjustment_range,float,,,,,,,,,,FALSE
阀门开度范围,Valve Opening Range,是,,,,installation_settings.valve_opening_range,阀门开度范围,Valve Opening Range,,,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x7d,,0,2,,,struct,impl,valve_control_config：0x01,,,,,,,,,,,,,,,,,属性,读写,,,,,valve_control_settings.opening_range,struct,,,,,,,,,,FALSE
下限值,Min Value,是,,,,installation_settings.valve_opening_range,阀门开度范围,Valve Opening Range,,,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x7d,,0,1,,,uint8,,,,,,,,0,,0,100,,,,,,,,属性,读写,,,,,valve_control_settings.opening_range.min,int,,,,,,,,,,FALSE
上限值,Max Value,是,,,,installation_settings.valve_opening_range,阀门开度范围,Valve Opening Range,,,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x7d,,1,2,,,uint8,,,,,,,,100,,0,100,,,,%,,,,属性,读写,,,,,valve_control_settings.opening_range.max,int,,,,,,,,,,FALSE
EC风速设置,EC Fan Speed Settings,是,,,,installation_settings.ec_fan_speed,EC风速设置,EC Fan Speed Settings,,,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x7e,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,fan_ec_control_settings,struct,,,,,,,,,,FALSE
控制内容,Control Content,否,,,,installation_settings.ec_fan_speed,EC风速设置,EC Fan Speed Settings,,,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x7e,,0,1,,,uint8,type,fan_control_config,,,,,,0,,,,"[0,2]",,,,,,,属性,读写,,,,,fan_ec_control_settings.type,enum,,,,,,,,,,FALSE
低速,Low Speed,是,,,,installation_settings.ec_fan_speed,EC风速设置,EC Fan Speed Settings,,,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x7e,,0,1,,,uint8,impl,fan_control_config：0x00,,,,,,50,,1,100,"[1,100]",,,%,,,,属性,读写,,,,,fan_ec_control_settings.low_threshold,int,,,,,,,,,,FALSE
中速,Medium Speed,是,,,,installation_settings.ec_fan_speed,EC风速设置,EC Fan Speed Settings,,,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x7e,,0,1,,,uint8,impl,fan_control_config：0x01,,,,,,80,,1,100,"[1,100]",,,%,,,,属性,读写,,,,,fan_ec_control_settings.mid_threshold,int,,,,,,,,,,FALSE
高速,High Speed,是,,,,installation_settings.ec_fan_speed,EC风速设置,EC Fan Speed Settings,,,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x7e,,0,1,,,uint8,impl,fan_control_config：0x02,,,,,,100,,1,100,"[1,100]",,,%,,,,属性,读写,,,,,fan_ec_control_settings.high_threshold,int,,,,,,,,,,FALSE
风扇停止设置,Fan Stop Settings,是,,"风扇模式为自动时，有效；
禁用：温控停止时，风扇保持低风速；
启用：温控停止时，风扇停止工作；","When the fan mode is Auto, it is effective;
Disable: When the temperature control is stopped, the fan speed remains low.
Enable: When the temperature control is stopped, the fan stops.",installation_settings,安装设置,Installation Settings,,,,,,,,0x8e,,0,1,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",1,,,,"[0,1]",,,,,,,属性,读写,,,,,fan_stop_enable,bool,,,,,,,,,,TRUE
阀门输出0%设置,Valve output 0% setting,是,,"启用：温控停止时，阀门输出0%；
禁用：温控停止时，阀门保持最小限制输出；","Enabled: When temperature control stops, the valve outputs 0%.
Disabled: When temperature control stops, the valve maintains the minimum limit output.",installation_settings,安装设置,Installation Settings,,,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x8f,,0,1,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",1,,,,"[0,1]",,,,,,,属性,读写,,,,,valve_output_0v_enable,bool,,,,,,,,,,FALSE
DI使能,DI Enable,是,,已经根据现有常见门磁传感器和房卡系统默认设置控制效果，可以根据您的门磁传感器和房卡系统 设置相反效果,Default control effect aligns with common magnetic contact switch and room card systems; adjust to reverse the effect if needed for your setup.,installation_settings.di_interface,DI接口,DI Interface,,,,,,,,0x80,,0,1,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,di_enable,bool,,,,,,,,,,TRUE
DI设置,DI Settings,是,,,,installation_settings.di_interface,DI接口,DI Interface,,,,,,,,0x81,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,di_settings,struct,,,,,,,,,,TRUE
DI 接口,DI Interface,是,,,,installation_settings.di_interface,DI接口,DI Interface,,,,,,,,0x81,,0,1,,,uint8,type(one_of),di_config,,,,,,0,,,,"[0,1]",,,,,,,属性,读写,,,,,di_settings.object,enum,,,,,,,,,,TRUE
房卡,Room Card,是,,,,installation_settings.di_interface.room_card_control_settings,房卡设置,Room Card Control Settings,,,,,,,,0x81,,0,0,,,struct,impl,di_config：0x00,,,,,,,,,,,,,,,,,属性,读写,,,,,di_settings.card_control,struct,,,,,,,,,,TRUE
控制内容,Control Object,是,,,,installation_settings.di_interface.room_card_control_settings,房卡设置,Room Card Control Settings,,,,,,,,0x81,,0,1,,,uint8,type(one_of),di_card_config,,,,,,0,,,,"[0,1]",,,,,,,属性,读写,,,,,di_settings.card_control.type,enum,,,,,,,,,,TRUE
系统控制,System Control,是,,,,installation_settings.di_interface.room_card_control_settings.control_object,控制内容,Control Status,,,,,,,,0x81,,0,1,,,struct,impl,di_card_config：0x00,,,,,,,,,,,,,,,,,属性,读写,,,,,di_settings.card_control.system_control,struct,,,,,,,,,,TRUE
插卡,Insert Card,是,,,,installation_settings.di_interface.room_card_control_settings.control_object,控制内容,Control Status,,,,,,,,0x81,,0,1,,,uint8,,,,,,"0：系统关
1：系统开","0：system off
1：system on",1,,,,"[0,1]",,,,,,,属性,读写,,,,,di_settings.card_control.system_control.trigger_by_insertion,enum,,,,,,,,,,TRUE
插入计划,Insert Schedule,是,,,,installation_settings.di_interface.room_card_control_settings.control_object,控制内容,Control Status,,,,,,,,0x81,,0,2,,,struct,impl,di_card_config：0x01,,,,,,,,,,,,,,,,,属性,读写,,,,,di_settings.card_control.insertion_plan,struct,,,,,,,,,,TRUE
插卡,Insert Card,是,,,,installation_settings.di_interface.room_card_control_settings.control_object,控制内容,Control Status,,,,,,,,0x81,,0,1,,,uint8,,,,,,"0：计划1
1：计划2
2：计划3
3：计划4
4：计划5
5：计划6
6：计划7
7：计划8
255：无动作","0：Schedule1
1：Schedule2
2：Schedule3
3：Schedule4
4：Schedule5
5：Schedule6
6：Schedule7
7：Schedule8
255：None",0,,,,"[0,255]",,,,,,,属性,读写,,,,,di_settings.card_control.insertion_plan.trigger_by_insertion,enum,,,,,,,,,,TRUE
拔卡,Remove Card,是,,,,installation_settings.di_interface.room_card_control_settings.control_object,控制内容,Control Status,,,,,,,,0x81,,1,2,,,uint8,,,,,,"0：计划1
1：计划2
2：计划3
3：计划4
4：计划5
5：计划6
6：计划7
7：计划8
255：无动作","0：Schedule1
1：Schedule2
2：Schedule3
3：Schedule4
4：Schedule5
5：Schedule6
6：Schedule7
7：Schedule8
255：None",1,,,,"[0,255]",,,,,,,属性,读写,,,,,di_settings.card_control.insertion_plan.trigger_by_extraction,enum,,,,,,,,,,TRUE
门磁传感器,Magnetic Contact Switch,是,,,,installation_settings.di_interface.room_card_control_settings.control_object,控制内容,Control Status,,,,,,,,0x81,,0,1,,,struct,impl,di_config：0x01,,,,,,,,,,,,,,,,,属性,读写,,,,,di_settings.magnet_detection,struct,,,,,,,,,,TRUE
传感器类型,Sensor Type,是,,"常开型：电路导通时，为开门/开窗
常闭型：电路断开时，为开门/开窗","Normally Open: Conduct circuit, open door/window.
Normally Closed: Disconnect circuit, open door/window.",installation_settings.di_interface.room_card_control_settings.control_object,控制内容,Control Status,,,,,,,,0x81,,0,1,,,uint8,,,,,,"0：常闭型
1：常开型","0：NO
1：NC",0,,,,"[0,1]",,,,,,,属性,读写,,,,,di_settings.magnet_detection.magnet_type,enum,,,,,,,,,,TRUE
开窗检测,Open Window Detection,是,,,,installation_settings.open_window_detection,开窗检测,Open Window Detection,,,,,,,,0x82,,0,1,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,window_opening_detection_enable,bool,,,,,,,,,,TRUE
开窗检测,Open Window Detection,是,,,,installation_settings.open_window_detection,开窗检测,Open Window Detection,,,,,,,,0x83,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,window_opening_detection_settings,struct,,,,,,,,,,TRUE
检测方式,Detection Method,是,,当检测方式为门磁检测时，需要确保 DI接口配置为门磁传感器,"When the detection method is magnetic detection, it is necessary to ensure that the DI interface is configured as a magnetic contact switch.",installation_settings.open_window_detection,开窗检测,Open Window Detection,,,,,,,,0x83,,0,1,,,uint8,type(one_of),window_detection,,,,,,0,,,,"[0,1]",,,,,,,属性,读写,,,,,window_opening_detection_settings.type,enum,,,,,,,,,,TRUE
温度检测,Temperature Detection,是,,,,installation_settings.open_window_detection,温度检测,Temperature Detection,,,,,,,,0x83,,0,3,,,struct,impl,window_detection：0x00,,,,,,,,,,,,,,,,,属性,读写,,,,,window_opening_detection_settings.temperature_detection,struct,,,,,,,,,,TRUE
温度变化,Temperature Change,是,,此功能可能会受室外温度、设备离出风口位置和出风口在房间内的位置等因素影响，请根据实际情况，合理设置温度变化值,"This feature may be affected by outdoor temperature, the device's distance from the air outlet, and the outlet's position in the room. Set the temperature variation threshold reasonably based on actual conditions.",installation_settings.open_window_detection.temp_detection,温度检测,Temperature Detection,,,,,,,,0x83,,0,2,,,int16,,,,,,,,3,,1,10,"[100,1000]",2,0.01,℃,,,,属性,读写,,,,,window_opening_detection_settings.temperature_detection.difference_in_temperature,float,,,,,,,,,,TRUE
停止调温时间,Stop Temperature Control For,是,,,,installation_settings.open_window_detection.temp_detection,温度检测,Temperature Detection,,,,,,,,0x83,,2,3,,,uint8,,,,,,,,30,,1,60,"[1,60]",,,min,,,,属性,读写,,,,,window_opening_detection_settings.temperature_detection.stop_time,int,,,,,,,,,,TRUE
门磁检测,Magnetic Detection,是,,,,installation_settings.open_window_detection.dm_detection,门磁检测,Magnetic Contact Switch Detection,,,,,,,,0x83,,0,1,,,struct,impl,window_detection：0x01,,,,,,,,,,,,,,,,,属性,读写,,,,,window_opening_detection_settings.magnet_detection,struct,,,,,,,,,,TRUE
持续时间,Duration,是,,,,installation_settings.open_window_detection.dm_detection,门磁检测,Magnetic Contact Switch Detection,,,,,,,,0x83,,0,1,,,uint8,,,,,,,,10,,1,60,"[1,60]",,,min,,,,属性,读写,,,,,window_opening_detection_settings.magnet_detection.duration,int,,,,,,,,,,TRUE
防冻保护,Freeze Protection,是,,,,installation_settings.freeze_protection,防冻保护,Freeze Protection,,,,,,,,0x84,,0,3,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,freeze_protection_settings,struct,,,,,,,,,,TRUE
防冻保护,Freeze Protection,是,,,,installation_settings.freeze_protection,防冻保护,Freeze Protection,,,,,,,,0x84,,0,1,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",1,,,,"[0,1]",,,,,,,属性,读写,,,,,freeze_protection_settings.enable,bool,,,,,,,,,,TRUE
保护温度,Protection Temperature,是,,,,installation_settings.freeze_protection,防冻保护,Freeze Protection,,,,,,,,0x84,,1,3,,,int16,,,,,,,,3,,1,5,"[100,500]",2,0.01,℃,,,,属性,读写,,,,,freeze_protection_settings.target_temperature,float,,,,,,,,,,TRUE
防冻保护配置,Freeze Protection Configuration,否,,,,freeze_protection_cfg,防冻保护配置,Freeze Protection Configuration,,>=1.5,,,,,,0x98,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,v1.1,freeze_protection_cfg,struct,,,,,,,,,,TRUE
子命令,Sub-command,否,,,,freeze_protection_cfg,防冻保护配置,Freeze Protection Configuration,,>=1.5,,,,,,0x98,,0,1,,,uint8,type,freeze_protection_cfg,,,,,,0,,,,,,,,,,,属性,读写,,,,v1.1,freeze_protection_cfg.cmd,enum,,,,,,,,,,TRUE
防冻保护使能,Freeze Protection Enable,否,,,,freeze_protection_cfg,防冻保护配置,Freeze Protection Configuration,,>=1.5,,,,,,0x98,,0,1,,,uint8,impl,freeze_protection_cfg：0x00,,,,"0：禁用
1：启用","0：disable
1：enable",1,,,,"[0,1]",,,,,,,属性,读写,,,,v1.1,freeze_protection_cfg.enable,bool,,,,,,,,,,TRUE
防冻保护目标温度,Freeze Protection Target Temperature,否,,,,freeze_protection_cfg,防冻保护配置,Freeze Protection Configuration,,>=1.5,,,,,,0x98,,0,2,,,int16,impl,freeze_protection_cfg：0x01,,,,,,3,,1,5,"[100,500]",2,0.01,℃,,,,属性,读写,,,,v1.1,freeze_protection_cfg.target_temperature,float,,,,,,,,,,TRUE
D2D配对启用,D2D Pairing Enable,是,,,,d2d_settings,D2D设置,D2D Settings,,,,,,,,0x86,,0,1,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,d2d_pairing_enable,bool,,,,,,,,,,TRUE
D2D配对信息,D2D Pairing Information,是,,,,d2d_settings,D2D设置,D2D Settings,,,,,,,,0x87,,0,0,,,array,separate,,,,struct,,,,,,,,,,,,,,属性,读写,,,,,d2d_pairing_settings,array,,,5,,,,,,,TRUE
D2D配对信息,D2D Pairing Information,是,,,,d2d_settings,D2D设置,D2D Settings,,,,,,,,0x87,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,d2d_pairing_settings._item,struct,,,,,,,,,,TRUE
序号,ID,否,,,,d2d_settings,D2D设置,D2D Settings,,,,,,,,0x87,,0,1,,,uint8,index,,,,,,,0,,0,4,"[0,4]",,,,,,,属性,读写,,,,,d2d_pairing_settings._item.index,int,,,,,,,,,,TRUE
类型,Type,否,,,,d2d_settings,D2D设置,D2D Settings,,,,,,,,0x87,,1,2,,,uint8,type,d2d_pairing,,,,,,0,,,,"[0,2]",,,,,,,属性,读写,,,,,d2d_pairing_settings._item.type,enum,,,,,,,,,,TRUE
使能,Enable,是,,,,d2d_settings,D2D设置,D2D Settings,,,,,,,,0x87,,0,1,,,uint8,impl,d2d_pairing：0x00,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,d2d_pairing_settings._item.enable,bool,,,,,,,,,,TRUE
设备EUI,Device EUI,是,,,,d2d_settings,D2D设置,D2D Settings,,,,,,,,0x87,,0,8,,,string,impl,d2d_pairing：0x01,,,,,,,,,,,,,,,16,hex,属性,读写,,,,,d2d_pairing_settings._item.deveui,string,16,16,,,,,否,,,TRUE
设备名称前8B,Device Name (prefix8),是,,,,d2d_settings,D2D设置,D2D Settings,,,,,,,,0x87,,0,8,,,string,impl,d2d_pairing：0x02,,,,,,,,,,,,,,,8,ascii,属性,读写,,,,,d2d_pairing_settings._item.name_first,string,,8,,,,,否,,,TRUE
设备名称后8B,Device Name (suffix8),是,,,,d2d_settings,D2D设置,D2D Settings,,,,,,,,0x87,,0,8,,,string,impl,d2d_pairing：0x03,,,,,,,,,,,,,,,8,ascii,属性,读写,,,,,d2d_pairing_settings._item.name_last,string,,8,,,,,否,,,TRUE
D2D主控使能,D2D Controller Enable,是,,,,d2d_settings.controller_settings,D2D主控设置,D2D Controller Settings,,,,,,,,0x88,,0,1,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,d2d_master_enable,bool,,,,,,,,,,TRUE
D2D主控,D2D Master Control,是,,,,d2d_settings.controller_settings,D2D主控设置,D2D Controller Settings,,,,,,,,0x89,,0,0,,,array,separate,,,,struct,,,,"[{""trigger_condition"":""0"",""enable"":false,""uplink"":false,""command"":""0000"",""control_time_enable"":false,""control_time"":5},{""trigger_condition"":""1"",""enable"":false,""uplink"":false,""command"":""0001"",""control_time_enable"":false,""control_time"":5},{""trigger_condition"":""2"",""enable"":false,""uplink"":false,""command"":""0002"",""control_time_enable"":false,""control_time"":5},{""trigger_condition"":""3"",""enable"":false,""uplink"":false,""command"":""0003"",""control_time_enable"":false,""control_time"":5},{""trigger_condition"":""4"",""enable"":false,""uplink"":false,""command"":""0004"",""control_time_enable"":false,""control_time"":5},{""trigger_condition"":""5"",""enable"":false,""uplink"":false,""command"":""0005"",""control_time_enable"":false,""control_time"":5},{""trigger_condition"":""6"",""enable"":false,""uplink"":false,""command"":""0006"",""control_time_enable"":false,""control_time"":5},{""trigger_condition"":""7"",""enable"":false,""uplink"":false,""command"":""0007"",""control_time_enable"":false,""control_time"":5},{""trigger_condition"":""16"",""enable"":false,""uplink"":false,""command"":""0010"",""control_time_enable"":false,""control_time"":5},{""trigger_condition"":""17"",""enable"":false,""uplink"":false,""command"":""0011"",""control_time_enable"":false,""control_time"":5}]",,,,,,,,,,属性,读写,,,,,d2d_master_settings,array,,,10,,,,,,,TRUE
D2D主控,D2D Master Control,是,,,,d2d_settings.controller_settings,D2D主控设置,D2D Controller Settings,,,,,,,,0x89,,0,8,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,d2d_master_settings._item,struct,,,,,,,,,,TRUE
触发方式,Trigger Mode,是,,,,d2d_settings.controller_settings,D2D主控设置,D2D Controller Settings,,,,,,,,0x89,,0,1,,,uint8,index,,,,,"0：计划1
1：计划2
2：计划3
3：计划4
4：计划5
5：计划6
6：计划7
7：计划8
16：系统关
17：系统开","0: Schedule1
1: Schedule2
2: Schedule3
3: Schedule4
4: Schedule5
5: Schedule6
6: Schedule7
7: Schedule8
16：System Off
17：System On",0,,,,"[0,17]",,,,,,,属性,读写,,,,,d2d_master_settings._item.trigger_condition,enum,,,,,,,,,,TRUE
使能,Enable,是,,,,d2d_settings.controller_settings,D2D主控设置,D2D Controller Settings,,,,,,,,0x89,,1,2,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,d2d_master_settings._item.enable,bool,,,,,,,,,,TRUE
控制命令,Control Command,是,,,,d2d_settings.controller_settings,D2D主控设置,D2D Controller Settings,,,,,,,,0x89,,2,4,,,string,,,,,,,,0000,,,,,,,,小端,2,hex,属性,读写,,,,,d2d_master_settings._item.command,string,4,4,,,,,,,,TRUE
LoRa上行,LoRa Uplink,是,,,,d2d_settings.controller_settings,D2D主控设置,D2D Controller Settings,,,,,,,,0x89,,4,5,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,d2d_master_settings._item.uplink,bool,,,,,,,,,,TRUE
启用控制时间,Enable Control Time,否,,,,d2d_settings.controller_settings,D2D主控设置,D2D Controller Settings,,,,,,,,0x89,,5,6,,,uint8,,,0,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,d2d_master_settings._item.control_time_enable,bool,,,,,,,,,,TRUE
控制时间,Control Time,否,,,,d2d_settings.controller_settings,D2D主控设置,D2D Controller Settings,,,,,,,,0x89,,6,8,,,uint16,,,5,,,,,5,,1,1440,,,,min,,,,属性,读写,,,,,d2d_master_settings._item.control_time,int,,,,,,,,,,TRUE
D2D被控使能,D2D Agent Enable,是,,,,d2d_settings.agent_settings,D2D被控设置,D2D Agent Settings,,,,,,,,0x8a,,0,1,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,d2d_slave_enable,bool,,,,,,,,,,TRUE
D2D被控,D2D Controlled,是,,,,d2d_settings.agent_settings,D2D被控设置,D2D Agent Settings,,,,,,,,0x8b,,0,0,,,array,separate,,,,struct,,,,,,,,,,,,,,属性,读写,,,,,d2d_slave_settings,array,,,16,,,,,,,TRUE
D2D被控,D2D Controlled,是,,,,d2d_settings.agent_settings,D2D被控设置,D2D Agent Settings,,,,,,,,0x8b,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,d2d_slave_settings._item,struct,,,,,,,,,,TRUE
D2D被控序号,D2D Controlled ID,否,,,,d2d_settings.agent_settings,D2D被控设置,D2D Agent Settings,,,,,,,,0x8b,,0,1,,,uint8,index,,,,,,,0,,0,15,,,,,,,,属性,读写,,,,,d2d_slave_settings._item.index,int,,,,,,,,,,TRUE
使能,Enable,是,,,,d2d_settings.agent_settings,D2D被控设置,D2D Agent Settings,,,,,,,,0x8b,,1,2,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,d2d_slave_settings._item.enable,bool,,,,,,,,,,TRUE
控制命令,Control Command,是,,,,d2d_settings.agent_settings,D2D被控设置,D2D Agent Settings,,,,,,,,0x8b,,2,4,,,string,,,,,,,,0000,,,,,,,,小端,2,hex,属性,读写,,,,,d2d_slave_settings._item.command,string,4,4,,,,,,,,TRUE
被控状态,Action Status,是,,,,d2d_settings.agent_settings,D2D被控设置,D2D Agent Settings,,,,,,,,0x8b,,4,5,,,uint8,,,,,,"0：计划1
1：计划2
2：计划3
3：计划4
4：计划5
5：计划6
6：计划7
7：计划8
16：系统关
17：系统开","0：Schedule1
1：Schedule2
2：Schedule3
3：Schedule4
4：Schedule5
5：Schedule6
6：Schedule7
7：Schedule8
16：System Off
17：System On",16,,,,"[0,17]",,,,,,,属性,读写,,,,,d2d_slave_settings._item.value,enum,,,,,,,,,,TRUE
屏幕显示预配置,Preconfigured on The Screen,否,,,,preconfigured,预配置,Preconfigured ,,,,,,,,0x91,,0,0,,,array,separate,,,,struct,,,,,,,,,,,,,,属性,只写,,,,,screen_content_settings,array,,,25,,,,,,1,TRUE
屏幕显示预配置,Preconfigured on The Screen,否,,,,preconfigured.screen,屏幕显示预配置,Preconfigured on The Screen,,,,,,,,0x91,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,只写,,,,,screen_content_settings._item,struct,,,,,,,,,1,TRUE
预配置对象,Preconfigured Objects,否,,此命令仅支持中文计划名称预配置,This command only supports Chinese schedule name preconfiguration,preconfigured.screen,屏幕显示预配置,Preconfigured on The Screen,,,,,,,,0x91,,0,1,,,uint8,index,,,,,"0：重启
1：重置
2：过温保护
3：通风图标
4：通风文字
5：制热图标
6：制热文字
7：制冷图标
8：制冷文字
9：风扇自动图标
10：风扇自动文字
11：风扇低速图标
12：风扇低速文字
13：风扇中速图标
14：风扇中速文字
15：风扇高速图标
16：风扇高速文字
17：温度设定
18：计划图标
19：计划1名称
20：计划2名称
21：计划3名称
22：计划4名称
23：计划5名称
24：计划6名称
25：计划7名称
26：计划8名称
27：计划9名称
28：计划10名称
29：计划11名称
30：计划12名称
31：计划13名称
32：计划14名称
33：计划15名称
34：计划16名称","0: Reboot
1: Reset
2: Overtemperature Protection
3: Ventilation Icon
4: Ventilation Text
5: Heat Icon
6: Heat Text
7: Cool Icon
8: Cool Text
9: Auto Fan Icon
10: Auto Fan Text
11: Low Fan Speed Icon
12: Low Fan Speed Text
13: Medium Fan Speed Icon
14: Medium Fan Speed Text
15: High Fan Speed Icon
16: High Fan Speed Text
17: Temperature Set
18: Schedule Icon
19: Schedule 1 Name
20: Schedule 2 Name
21: Schedule 3 Name
22: Schedule 4 Name
23: Schedule 5 Name
24: Schedule 6 Name
25: Schedule 7 Name
26: Schedule 8 Name
27: Schedule 9 Name
28: Schedule 10 Name
29: Schedule 11 Name
30: Schedule 12 Name
31: Schedule 13 Name
32: Schedule 14 Name
33: Schedule 15 Name
34: Schedule 16 Name",0,,,,"[0,34]",,,,,,,属性,只写,,,,,screen_content_settings._item.object,enum,,,,,,,,,1,TRUE
图片长度,Image Length,否,,,,preconfigured.screen,屏幕显示预配置,Preconfigured on The Screen,,,,,,,,0x91,,1,3,,,uint16,length,,,,,,,0,,0,65535,"[0,65535]",,,,,,,属性,只写,,,,,screen_content_settings._item.length,int,,,,,,,,,1,TRUE
内容,Content,否,,,,preconfigured.screen,屏幕显示预配置,Preconfigured on The Screen,,,,,,,,0x91,,0,0,,,string,,,,,,,,0,,,,,,,,,65535,hex,属性,只写,,,,,screen_content_settings._item.data,string,0,65535,,,,,,,1,TRUE
占用检测配置,Occupied Detection Configuration,是,,,,occupied_detection_cfg,占用检测配置,Occupied Detection Configuration,,>=1.5,WT303-FLAT-FL,,,,,0x94,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,v1.1,occupied_detection_cfg,struct,,,,,,,,,,TRUE
子命令,Sub-command,否,,,,occupied_detection_cfg,占用检测配置,Occupied Detection Configuration,,>=1.5,WT303-FLAT-FL,,,,,0x94,,0,1,,,uint8,type,occupied_detection_cfg,,,,,,0,,,,,,,,,,,属性,读写,,,,v1.1,occupied_detection_cfg.cmd,enum,,,,,,,,,,TRUE
占用检测使能,Occupied Detection Enable,是,,,,occupied_detection_cfg,占用检测配置,Occupied Detection Configuration,,>=1.5,WT303-FLAT-FL,,,,,0x94,,0,1,,,uint8,impl,occupied_detection_cfg：0x00,,,,"0：禁用
1：启用","0：disable
1：enable",1,,,,"[0,1]",,,,,,,属性,读写,,,,v1.1,occupied_detection_cfg.enable,bool,,,,,,,,,,TRUE
